CityCode,CityName,LTLACode,LTLAName,UTLACode,UTLAName,RegionCode,RegionName,MSOACode,MSOAName
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003031,Bristol 020
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003032,Bristol 021
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003033,Bristol 022
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003034,Bristol 023
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003036,Bristol 025
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003037,Bristol 026
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003038,Bristol 027
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003039,Bristol 028
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003040,Bristol 029
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003041,Bristol 030
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003043,Bristol 032
