CityName,CityCode,Date,NewCasesBySpecimenDateRollingSum
Coventry,J01000028,2022-07-23,644
Coventry,J01000028,2022-07-30,401
Coventry,J01000028,2022-08-06,282
Coventry,J01000028,2022-08-13,245
Coventry,J01000028,2022-08-20,161
Coventry,J01000028,2022-08-27,128
Coventry,J01000028,2022-09-03,124
Coventry,J01000028,2022-09-10,143
Coventry,J01000028,2022-09-17,158
Coventry,J01000028,2022-09-24,265
Coventry,J01000028,2022-10-01,264
Coventry,J01000028,2022-10-08,252
Coventry,J01000028,2022-10-15,244
Coventry,J01000028,2022-10-22,209
Coventry,J01000028,2022-10-29,120
Coventry,J01000028,2022-11-05,95
Coventry,J01000028,2022-11-12,100
Derby,J01000031,2020-03-21,12
Derby,J01000031,2020-03-28,56
Derby,J01000031,2020-04-04,148
Derby,J01000031,2020-04-11,56
Derby,J01000031,2020-04-18,58
Derby,J01000031,2020-04-25,80
Derby,J01000031,2020-05-02,99
Derby,J01000031,2020-05-09,79
Derby,J01000031,2020-05-16,79
Derby,J01000031,2020-05-23,65
Derby,J01000031,2020-05-30,50
Derby,J01000031,2020-06-06,64
Derby,J01000031,2020-06-13,42
Derby,J01000031,2020-06-20,47
Derby,J01000031,2020-06-27,24
Derby,J01000031,2020-07-04,7
Derby,J01000031,2020-07-11,12
Derby,J01000031,2020-07-18,9
Derby,J01000031,2020-08-01,7
Derby,J01000031,2020-08-08,12
Derby,J01000031,2020-08-15,9
Derby,J01000031,2020-08-22,6
Derby,J01000031,2020-08-29,5
Derby,J01000031,2020-09-05,21
Derby,J01000031,2020-09-12,49
Derby,J01000031,2020-09-19,67
Derby,J01000031,2020-09-26,71
Derby,J01000031,2020-10-03,180
Derby,J01000031,2020-10-10,305
Derby,J01000031,2020-10-17,445
Derby,J01000031,2020-10-24,860
Derby,J01000031,2020-10-31,1050
Derby,J01000031,2020-11-07,1247
Derby,J01000031,2020-11-14,1158
Derby,J01000031,2020-11-21,737
Derby,J01000031,2020-11-28,483
Derby,J01000031,2020-12-05,392
Derby,J01000031,2020-12-12,543
Derby,J01000031,2020-12-19,665
Derby,J01000031,2020-12-26,724
Derby,J01000031,2021-01-02,1559
Derby,J01000031,2021-01-09,1836
Derby,J01000031,2021-01-16,1762
Derby,J01000031,2021-01-23,1506
Derby,J01000031,2021-01-30,1034
Derby,J01000031,2021-02-06,747
Derby,J01000031,2021-02-13,580
Derby,J01000031,2021-02-20,513
Derby,J01000031,2021-02-27,367
Derby,J01000031,2021-03-06,239
Derby,J01000031,2021-03-13,169
Derby,J01000031,2021-03-20,145
Derby,J01000031,2021-03-27,125
Derby,J01000031,2021-04-03,84
Derby,J01000031,2021-04-10,49
Derby,J01000031,2021-04-17,38
Derby,J01000031,2021-04-24,41
Derby,J01000031,2021-05-01,22
Derby,J01000031,2021-05-08,35
Derby,J01000031,2021-05-15,18
Derby,J01000031,2021-05-22,12
Derby,J01000031,2021-05-29,21
Derby,J01000031,2021-06-05,31
Derby,J01000031,2021-06-12,22
Derby,J01000031,2021-06-19,136
Derby,J01000031,2021-06-26,365
Derby,J01000031,2021-07-03,549
Derby,J01000031,2021-07-10,632
Derby,J01000031,2021-07-17,1191
Derby,J01000031,2021-07-24,854
Derby,J01000031,2021-07-31,674
Derby,J01000031,2021-08-07,949
Derby,J01000031,2021-08-14,1093
Derby,J01000031,2021-08-21,1113
Derby,J01000031,2021-08-28,1065
Derby,J01000031,2021-09-04,1114
Derby,J01000031,2021-09-11,1116
Derby,J01000031,2021-09-18,881
Derby,J01000031,2021-09-25,1182
Derby,J01000031,2021-10-02,1195
Derby,J01000031,2021-10-09,1273
Derby,J01000031,2021-10-16,1248
Derby,J01000031,2021-10-23,1122
Derby,J01000031,2021-10-30,962
Derby,J01000031,2021-11-06,847
Derby,J01000031,2021-11-13,904
Derby,J01000031,2021-11-20,1034
Derby,J01000031,2021-11-27,1104
Derby,J01000031,2021-12-04,1417
Derby,J01000031,2021-12-11,1388
Derby,J01000031,2021-12-18,2125
Derby,J01000031,2021-12-25,3455
Derby,J01000031,2022-01-01,5833
Derby,J01000031,2022-01-08,5926
Derby,J01000031,2022-01-15,3008
Derby,J01000031,2022-01-22,2730
Derby,J01000031,2022-01-29,2988
Derby,J01000031,2022-02-05,2220
Derby,J01000031,2022-02-12,1616
Derby,J01000031,2022-02-19,1064
Derby,J01000031,2022-02-26,738
Derby,J01000031,2022-03-05,864
Derby,J01000031,2022-03-12,1356
Derby,J01000031,2022-03-19,1918
Derby,J01000031,2022-03-26,2234
Derby,J01000031,2022-04-02,1890
Derby,J01000031,2022-04-09,1267
Derby,J01000031,2022-04-16,817
Derby,J01000031,2022-04-23,499
Derby,J01000031,2022-04-30,324
Derby,J01000031,2022-05-07,278
Derby,J01000031,2022-05-14,259
Derby,J01000031,2022-05-21,176
Derby,J01000031,2022-05-28,169
Derby,J01000031,2022-06-04,113
Derby,J01000031,2022-06-11,245
Derby,J01000031,2022-06-18,304
Derby,J01000031,2022-06-25,434
Derby,J01000031,2022-07-02,681
Derby,J01000031,2022-07-09,732
Derby,J01000031,2022-07-16,689
Derby,J01000031,2022-07-23,441
Derby,J01000031,2022-07-30,344
