Date,NOx_1,NOx_2,PM2.5_1,PM2.5_2,PM10_1,PM10_2
2020-07-23,No data,32,No data,3,No data,9
2020-07-24,No data,44,No data,6,No data,12
2020-07-25,No data,21,No data,3,No data,10
2020-07-26,No data,11,No data,5,No data,11
2020-07-27,No data,20,No data,4,No data,10
2020-07-28,No data,35,No data,5,No data,13
2020-07-29,No data,32,No data,6,No data,17
2020-07-30,No data,39,No data,7,No data,15
2020-07-31,No data,49,No data,No data,No data,No data
2020-08-01,No data,27,No data,No data,No data,No data
2020-08-02,No data,17,No data,No data,No data,No data
2020-08-03,No data,39,No data,No data,No data,No data
2020-08-04,No data,16,No data,4,No data,11
2020-08-05,No data,19,No data,3,No data,9
2020-08-06,No data,No data,No data,No data,No data,No data
2020-08-07,No data,No data,No data,No data,No data,No data
2020-08-08,No data,36,No data,5,No data,11
2020-08-09,No data,23,No data,7,No data,18
2020-08-10,No data,56,No data,11,No data,25
2020-08-11,No data,62,No data,14,No data,27
2020-08-12,No data,54,No data,15,No data,27
2020-08-13,No data,36,No data,10,No data,15
2020-08-14,No data,49,No data,7,No data,10
2020-08-15,No data,42,No data,5,No data,10
2020-08-16,No data,26,No data,6,No data,12
2020-08-17,No data,79,No data,6,No data,13
2020-08-18,No data,38,No data,5,No data,12
2020-08-19,No data,29,No data,5,No data,12
2020-08-20,No data,15,No data,6,No data,18
2020-08-21,No data,11,No data,7,No data,15
2020-08-22,No data,22,No data,5,No data,13
2020-08-23,No data,28,No data,4,No data,9
2020-08-24,No data,49,No data,5,No data,12
2020-08-25,No data,48,No data,4,No data,9
2020-08-26,No data,57,No data,5,No data,12
2020-08-27,No data,63,No data,8,No data,16
2020-08-28,No data,51,No data,6,No data,12
2020-08-29,No data,44,No data,4,No data,11
2020-08-30,No data,36,No data,5,No data,9
2020-08-31,No data,34,No data,6,No data,12
2020-09-01,No data,30,No data,8,No data,14
2020-09-02,No data,18,No data,No data,No data,10
2020-09-03,No data,27,No data,4,No data,15
2020-09-04,No data,31,No data,6,No data,24
2020-09-05,No data,32,No data,4,No data,18
2020-09-06,No data,30,No data,4,No data,13
2020-09-07,No data,24,No data,1,No data,9
2020-09-08,No data,29,No data,1,No data,12
2020-09-09,No data,43,No data,6,No data,18
2020-09-10,No data,40,No data,7,No data,23
2020-09-11,No data,23,No data,4,No data,18
