Date,NOx_1,NOx_2,PM2.5_1,PM10_1,PM10_2
2020-07-02,No data,28,No data,No data,13
2020-07-03,No data,24,No data,No data,16
2020-07-04,No data,16,No data,No data,11
2020-07-05,No data,13,No data,No data,14
2020-07-06,No data,30,No data,No data,15
2020-07-07,No data,32,No data,No data,20
2020-07-08,No data,24,No data,No data,16
2020-07-09,No data,23,No data,No data,9
2020-07-10,No data,26,No data,No data,10
2020-07-11,No data,31,No data,No data,12
2020-07-12,No data,24,No data,No data,12
2020-07-13,No data,43,No data,No data,13
2020-07-14,No data,44,No data,No data,11
2020-07-15,No data,35,No data,No data,11
2020-07-16,No data,29,No data,No data,6
2020-07-17,No data,31,No data,No data,9
2020-07-18,No data,27,No data,No data,10
2020-07-19,No data,29,No data,No data,7
2020-07-20,No data,30,No data,No data,14
2020-07-21,No data,31,No data,No data,17
2020-07-22,No data,27,No data,No data,13
2020-07-23,No data,34,No data,No data,11
2020-07-24,No data,31,No data,No data,5
2020-07-25,No data,29,No data,No data,6
2020-07-26,No data,22,No data,No data,12
2020-07-27,No data,19,No data,No data,13
2020-07-28,No data,23,No data,No data,11
2020-07-29,No data,35,No data,No data,12
2020-07-30,No data,20,No data,No data,12
2020-07-31,No data,28,No data,No data,20
2020-08-01,No data,30,No data,No data,9
2020-08-02,No data,29,No data,No data,9
2020-08-03,No data,48,No data,No data,9
2020-08-04,No data,41,No data,No data,10
2020-08-05,No data,29,No data,No data,9
2020-08-06,No data,31,No data,No data,7
2020-08-07,No data,57,No data,No data,25
2020-08-08,No data,58,No data,No data,25
2020-08-09,No data,35,No data,No data,26
2020-08-10,No data,24,No data,No data,37
2020-08-11,No data,49,No data,No data,35
2020-08-12,No data,33,No data,No data,No data
2020-08-13,No data,37,No data,No data,No data
2020-08-14,No data,45,No data,No data,No data
2020-08-15,No data,30,No data,No data,No data
2020-08-16,No data,32,No data,No data,No data
2020-08-17,No data,42,No data,No data,No data
2020-08-18,No data,33,No data,No data,No data
2020-08-19,No data,24,No data,No data,No data
2020-08-20,No data,No data,No data,No data,No data
2020-08-21,No data,No data,No data,No data,No data
2020-08-22,No data,24,No data,No data,17
2020-08-23,No data,37,No data,No data,8
2020-08-24,No data,43,No data,No data,4
2020-08-25,No data,16,No data,No data,16
2020-08-26,No data,33,No data,No data,13
2020-08-27,No data,33,No data,No data,12
2020-08-28,No data,43,No data,No data,7
2020-08-29,No data,34,No data,No data,7
2020-08-30,No data,35,No data,No data,12
2020-08-31,No data,28,No data,No data,9
2020-09-01,No data,43,No data,No data,12
2020-09-02,No data,41,No data,No data,15
2020-09-03,No data,28,No data,No data,9
2020-09-04,No data,42,No data,No data,13
2020-09-05,No data,82,No data,No data,14
2020-09-06,No data,50,No data,No data,13
2020-09-07,No data,47,No data,No data,10
2020-09-08,No data,34,No data,No data,9
2020-09-09,No data,43,No data,No data,10
2020-09-10,No data,38,No data,No data,14
2020-09-11,No data,47,No data,No data,13
2020-09-12,No data,33,No data,No data,11
2020-09-13,No data,27,No data,No data,11
2020-09-14,No data,19,No data,No data,9
2020-09-15,No data,70,No data,No data,23
2020-09-16,No data,46,No data,No data,21
2020-09-17,No data,17,No data,No data,21
2020-09-18,No data,25,No data,No data,21
2020-09-19,No data,25,No data,No data,23
2020-09-20,No data,21,No data,No data,22
2020-09-21,No data,42,No data,No data,27
2020-09-22,No data,41,No data,No data,No data
2020-09-23,No data,28,No data,No data,No data
2020-09-24,No data,40,No data,No data,10
2020-09-25,No data,32,No data,No data,11
2020-09-26,No data,26,No data,No data,No data
2020-09-27,No data,22,No data,No data,No data
2020-09-28,No data,53,No data,No data,No data
2020-09-29,No data,52,No data,No data,No data
2020-09-30,No data,34,No data,No data,No data
2020-10-01,No data,56,No data,No data,No data
2020-10-02,No data,27,No data,No data,No data
2020-10-03,No data,46,No data,No data,4
2020-10-04,No data,27,No data,No data,7
2020-10-05,No data,67,No data,No data,12
2020-10-06,No data,31,No data,No data,11
2020-10-07,No data,35,No data,No data,14
2020-10-08,No data,33,No data,No data,No data
2020-10-09,No data,47,No data,No data,10
2020-10-10,No data,50,No data,No data,10
2020-10-11,No data,30,No data,No data,6
2020-10-12,No data,51,No data,No data,8
2020-10-13,No data,51,No data,No data,10
2020-10-14,No data,34,No data,No data,13
2020-10-15,No data,59,No data,No data,12
2020-10-16,No data,55,No data,No data,12
2020-10-17,No data,30,No data,No data,14
2020-10-18,No data,67,No data,No data,16
2020-10-19,No data,24,No data,No data,17
2020-10-20,No data,24,No data,No data,26
2020-10-21,No data,34,No data,No data,13
2020-10-22,No data,50,No data,No data,16
2020-10-23,No data,62,No data,No data,13
2020-10-24,No data,22,No data,No data,14
2020-10-25,No data,41,No data,No data,12
2020-10-26,No data,45,No data,No data,15
2020-10-27,No data,39,No data,No data,12
2020-10-28,No data,35,No data,No data,17
2020-10-29,No data,36,No data,No data,20
2020-10-30,No data,36,No data,No data,16
2020-10-31,No data,29,No data,No data,23
2020-11-01,No data,20,No data,No data,19
2020-11-02,No data,25,No data,No data,23
2020-11-03,No data,38,No data,No data,15
2020-11-04,No data,99,No data,No data,18
2020-11-05,No data,80,No data,No data,31
2020-11-06,No data,30,No data,No data,26
2020-11-07,No data,25,No data,No data,26
2020-11-08,No data,37,No data,No data,22
2020-11-09,No data,29,No data,No data,14
2020-11-10,No data,55,No data,No data,11
2020-11-11,No data,19,No data,No data,13
2020-11-12,No data,28,No data,No data,23
2020-11-13,No data,43,No data,No data,No data
2020-11-14,No data,13,No data,No data,22
2020-11-15,No data,14,No data,No data,14
2020-11-16,No data,25,No data,No data,18
2020-11-17,No data,26,No data,No data,18
2020-11-18,No data,24,No data,No data,17
2020-11-19,No data,34,No data,No data,15
2020-11-20,No data,61,No data,No data,12
2020-11-21,No data,18,No data,No data,13
2020-11-22,No data,35,No data,No data,12
