Date,PM2.5_1,PM10_1,PM10_2,NOx_1,NOx_2
2021-04-23,7,17,15,41,51
2021-04-24,10,18,16,28,40
2021-04-25,6,10,10,11,16
2021-04-26,6,15,11,18,32
2021-04-27,14,26,22,35,53
2021-04-28,9,16,17,18,43
2021-04-29,6,12,12,35,59
2021-04-30,8,13,15,31,68
2021-05-01,9,14,14,32,45
2021-05-02,11,16,22,30,52
2021-05-03,5,8,8,16,28
2021-05-04,2,5,8,19,41
2021-05-05,5,9,14,24,62
2021-05-06,5,8,13,28,64
2021-05-07,7,12,17,32,84
2021-05-08,4,6,8,23,32
2021-05-09,2,5,6,9,27
2021-05-10,4,9,11,14,No data
2021-05-11,6,13,13,29,No data
2021-05-12,5,9,15,23,No data
2021-05-13,8,14,19,19,35
2021-05-14,9,14,16,28,51
2021-05-15,13,17,16,30,34
2021-05-16,5,7,10,18,35
2021-05-17,10,19,19,34,69
2021-05-18,5,8,14,27,71
2021-05-19,4,8,15,31,64
2021-05-20,6,10,12,40,41
2021-05-21,3,4,6,16,38
2021-05-22,4,6,10,28,49
2021-05-23,4,6,9,17,33
2021-05-24,4,7,12,26,52
2021-05-25,5,9,14,23,55
2021-05-26,6,10,16,38,77
2021-05-27,10,14,15,27,39
2021-05-28,11,16,21,36,75
2021-05-29,9,14,17,42,45
2021-05-30,8,11,12,12,10
2021-05-31,11,15,18,14,9
2021-06-01,13,19,25,21,23
2021-06-02,14,22,30,21,26
2021-06-03,13,20,30,18,48
2021-06-04,6,12,19,31,49
2021-06-05,7,13,18,27,43
2021-06-06,6,9,16,20,31
2021-06-07,8,13,20,19,56
2021-06-08,7,13,17,22,66
2021-06-09,6,12,15,24,58
2021-06-10,2,6,9,14,45
2021-06-11,4,8,14,17,40
2021-06-12,7,11,16,21,33
2021-06-13,4,8,14,18,38
2021-06-14,5,10,14,23,44
2021-06-15,6,14,18,24,55
2021-06-16,5,13,17,20,55
2021-06-17,6,10,17,35,61
2021-06-18,5,17,13,22,61
2021-06-19,5,15,10,23,13
2021-06-20,7,10,15,13,17
2021-06-21,6,11,16,17,44
2021-06-22,6,12,16,21,40
2021-06-23,9,15,19,32,57
2021-06-24,8,11,15,26,54
2021-06-25,4,7,11,25,47
2021-06-26,4,7,10,17,23
2021-06-27,5,7,9,10,17
2021-06-28,5,8,14,18,52
2021-06-29,8,11,17,23,51
2021-06-30,8,11,14,24,49
2021-07-01,10,16,20,27,60
2021-07-02,14,22,23,25,38
2021-07-03,8,11,14,27,42
2021-07-04,4,7,10,22,32
2021-07-05,4,8,14,17,46
2021-07-06,3,7,13,15,35
2021-07-07,4,7,11,20,51
2021-07-08,9,13,18,29,63
2021-07-09,8,11,15,35,61
2021-07-10,7,11,11,24,32
2021-07-11,5,8,8,19,29
2021-07-12,5,8,12,27,43
2021-07-13,6,10,13,30,47
2021-07-14,5,10,13,30,45
2021-07-15,6,11,14,25,45
2021-07-16,7,14,18,33,53
2021-07-17,6,12,13,36,41
2021-07-18,8,14,13,26,32
2021-07-19,8,19,19,31,42
2021-07-20,11,21,26,34,48
2021-07-21,16,25,36,28,32
2021-07-22,13,23,25,34,39
2021-07-23,9,16,16,27,10
2021-07-24,6,11,12,15,20
2021-07-25,10,15,17,18,19
2021-07-26,11,18,22,25,72
2021-07-27,12,20,22,26,64
2021-07-28,6,11,14,20,45
2021-07-29,3,8,14,17,42
2021-07-30,5,8,16,36,34
2021-07-31,7,10,10,21,29
2021-08-01,4,7,8,17,19
2021-08-02,5,10,11,24,42
2021-08-03,7,12,13,28,41
2021-08-04,8,16,16,34,39
2021-08-05,7,14,11,31,31
2021-08-06,4,10,10,18,41
2021-08-07,4,8,8,16,29
2021-08-08,4,7,9,12,30
2021-08-09,5,8,9,19,49
2021-08-10,7,12,11,27,47
2021-08-11,6,11,11,23,45
2021-08-12,5,11,12,17,42
2021-08-13,6,12,15,15,34
2021-08-14,6,11,11,21,32
2021-08-15,6,9,12,18,29
2021-08-16,14,19,20,18,28
2021-08-17,4,7,8,19,34
2021-08-18,5,8,8,19,38
2021-08-19,6,9,10,24,47
2021-08-20,4,9,10,24,44
2021-08-21,7,12,11,39,27
2021-08-22,8,11,12,28,33
2021-08-23,6,12,No data,23,34
2021-08-24,3,7,No data,18,32
2021-08-25,6,11,No data,23,53
2021-08-26,6,12,No data,20,32
2021-08-27,6,12,12,26,49
2021-08-28,8,16,15,26,38
2021-08-29,8,14,14,21,28
2021-08-30,5,9,10,12,21
2021-08-31,4,8,9,17,43
2021-09-01,11,19,19,19,36
2021-09-02,10,18,20,17,43
2021-09-03,11,18,18,18,40
2021-09-04,11,17,16,20,23
2021-09-05,11,20,20,17,17
2021-09-06,22,36,34,53,79
2021-09-07,21,36,29,53,56
2021-09-08,18,33,25,No data,35
2021-09-09,14,26,20,No data,47
2021-09-10,7,12,10,No data,50
2021-09-11,8,12,10,No data,35
2021-09-12,6,10,12,No data,31
2021-09-13,No data,No data,No data,No data,No data
2021-09-14,No data,No data,17,No data,No data
2021-09-15,12,18,19,No data,91
2021-09-16,12,19,23,No data,104
2021-09-17,9,16,15,No data,72
2021-09-18,14,22,19,No data,46
2021-09-19,9,14,12,No data,34
2021-09-20,4,9,12,No data,81
2021-09-21,11,20,21,No data,94
2021-09-22,9,16,16,No data,73
2021-09-23,6,12,12,No data,49
2021-09-24,8,15,15,No data,64
2021-09-25,7,13,10,38,34
2021-09-26,10,15,13,20,18
2021-09-27,3,7,8,19,31
2021-09-28,5,11,9,24,22
2021-09-29,6,11,12,23,58
2021-09-30,4,7,8,20,30
2021-10-01,4,8,11,19,53
2021-10-02,6,11,9,41,38
