Date,NOx_1,NOx_2,NOx_3,PM10_2,PM10_3,PM2.5_1,PM2.5_2,PM2.5_3
2021-01-28,195,73,59,13,No data,14,10,No data
2021-01-29,81,19,44,9,No data,7,6,No data
2021-01-30,63,21,13,9,No data,3,5,No data
2021-01-31,138,48,44,16,No data,10,11,No data
2021-02-01,No data,No data,No data,19,No data,No data,9,No data
2021-02-02,No data,No data,No data,14,No data,No data,12,No data
2021-02-03,218,No data,136,16,No data,15,13,No data
2021-02-04,167,No data,51,16,No data,18,12,No data
2021-02-05,132,No data,47,17,No data,13,11,No data
2021-02-06,84,No data,18,7,No data,8,6,No data
2021-02-07,31,No data,14,16,No data,7,8,No data
2021-02-08,55,No data,29,9,No data,4,5,No data
2021-02-09,69,No data,30,8,No data,3,5,No data
2021-02-10,90,No data,30,11,No data,6,7,No data
2021-02-11,187,No data,120,17,No data,13,11,No data
2021-02-12,86,No data,20,19,No data,14,12,No data
2021-02-13,45,No data,13,19,No data,7,9,No data
2021-02-14,42,No data,20,13,No data,9,9,No data
2021-02-15,96,No data,40,12,No data,10,9,No data
2021-02-16,66,No data,37,8,No data,6,4,No data
2021-02-17,59,No data,30,11,No data,6,6,No data
2021-02-18,49,No data,27,7,No data,3,4,No data
2021-02-19,35,No data,19,12,No data,3,5,No data
2021-02-20,35,No data,11,22,No data,11,10,No data
2021-02-21,78,No data,20,11,No data,11,8,No data
2021-02-22,167,No data,72,16,No data,14,11,No data
2021-02-23,35,No data,21,8,No data,4,4,No data
2021-02-24,27,No data,17,9,No data,5,5,No data
2021-02-25,87,No data,53,10,No data,7,5,No data
2021-02-26,126,No data,88,18,No data,9,11,No data
2021-02-27,183,No data,99,25,No data,18,18,No data
2021-02-28,151,No data,83,32,No data,30,26,No data
2021-03-01,135,No data,68,24,No data,24,20,No data
2021-03-02,99,No data,18,24,No data,22,19,No data
2021-03-03,118,No data,35,53,No data,56,45,No data
2021-03-04,68,No data,21,16,No data,12,12,No data
2021-03-05,87,No data,25,13,No data,7,6,No data
2021-03-06,98,No data,49,19,No data,12,14,No data
2021-03-07,68,No data,39,23,No data,15,18,No data
2021-03-08,93,No data,64,14,No data,9,10,No data
2021-03-09,72,No data,50,17,No data,8,10,No data
2021-03-10,37,No data,23,8,No data,4,5,No data
2021-03-11,37,No data,23,7,No data,3,4,No data
2021-03-12,43,No data,28,6,No data,1,3,No data
2021-03-13,38,No data,14,5,No data,2,3,No data
2021-03-14,25,No data,11,7,No data,2,4,No data
2021-03-15,56,No data,23,10,No data,5,6,No data
2021-03-16,87,No data,38,11,No data,7,6,No data
2021-03-17,138,No data,98,20,No data,11,10,No data
2021-03-18,79,No data,45,16,No data,10,10,No data
2021-03-19,69,No data,14,8,No data,4,5,No data
2021-03-20,53,No data,23,7,No data,6,5,No data
2021-03-21,54,No data,17,10,No data,5,6,No data
2021-03-22,96,No data,62,14,No data,10,10,No data
2021-03-23,55,No data,38,11,No data,10,7,No data
2021-03-24,57,No data,34,9,No data,4,5,No data
2021-03-25,51,No data,29,8,No data,2,4,No data
2021-03-26,42,No data,26,7,No data,2,4,No data
2021-03-27,37,No data,14,10,No data,3,5,No data
2021-03-28,20,No data,8,3,No data,0,1,No data
2021-03-29,38,No data,20,3,No data,1,1,No data
2021-03-30,142,No data,66,24,No data,13,12,No data
2021-03-31,120,No data,53,33,No data,20,17,No data
2021-04-01,57,No data,17,38,No data,6,29,No data
2021-04-02,46,No data,10,21,No data,4,16,No data
2021-04-03,70,No data,15,21,No data,9,12,No data
2021-04-04,55,No data,23,17,No data,10,11,No data
2021-04-05,31,No data,9,6,No data,1,3,No data
2021-04-06,63,No data,24,5,No data,1,2,No data
2021-04-07,51,No data,38,8,No data,1,3,No data
2021-04-08,48,No data,28,8,No data,3,4,No data
2021-04-09,72,No data,35,11,No data,5,5,No data
2021-04-10,78,No data,22,13,No data,10,9,No data
2021-04-11,56,No data,16,6,No data,4,3,No data
2021-04-12,99,No data,62,7,No data,4,4,No data
2021-04-13,110,No data,67,15,No data,6,7,No data
2021-04-14,92,No data,50,17,No data,11,9,No data
2021-04-15,100,No data,61,15,No data,12,7,No data
2021-04-16,99,No data,67,16,No data,10,9,No data
2021-04-17,83,No data,43,19,No data,18,11,No data
2021-04-18,75,No data,29,17,No data,11,11,No data
2021-04-19,99,No data,62,23,No data,12,12,No data
2021-04-20,99,No data,58,38,No data,25,22,No data
2021-04-21,70,No data,19,23,No data,10,12,No data
2021-04-22,89,No data,61,15,No data,8,7,No data
2021-04-23,105,No data,51,16,No data,8,6,No data
2021-04-24,76,No data,30,20,No data,14,11,No data
2021-04-25,49,No data,14,14,No data,9,8,No data
2021-04-26,67,No data,26,15,No data,8,8,No data
2021-04-27,79,No data,30,26,No data,17,16,No data
2021-04-28,64,No data,26,17,No data,11,10,No data
2021-04-29,87,No data,37,10,No data,7,6,No data
2021-04-30,74,No data,39,11,No data,9,7,No data
2021-05-01,67,No data,20,12,No data,10,8,No data
2021-05-02,56,No data,30,14,No data,10,10,No data
2021-05-03,47,No data,20,7,No data,7,5,No data
2021-05-04,33,No data,21,2,No data,3,1,No data
2021-05-05,58,No data,28,6,No data,3,3,No data
2021-05-06,51,No data,37,5,No data,2,3,No data
2021-05-07,77,No data,61,7,No data,4,4,No data
2021-05-08,85,No data,33,5,No data,6,4,No data
2021-05-09,40,No data,17,5,No data,3,3,No data
2021-05-10,46,No data,23,7,No data,5,4,No data
2021-05-11,78,No data,27,9,No data,7,5,No data
2021-05-12,82,No data,40,7,No data,7,5,No data
2021-05-13,No data,No data,28,15,No data,12,9,No data
2021-05-14,No data,No data,18,12,No data,9,9,No data
2021-05-15,99,No data,19,15,No data,15,12,No data
2021-05-16,64,No data,16,8,No data,9,6,No data
2021-05-17,73,No data,28,8,No data,8,6,No data
2021-05-18,52,No data,37,5,No data,5,3,No data
2021-05-19,56,No data,35,4,No data,3,2,No data
2021-05-20,78,No data,37,7,No data,5,4,No data
2021-05-21,49,No data,24,3,No data,3,2,No data
2021-05-22,52,No data,20,3,No data,3,2,No data
2021-05-23,42,No data,18,5,No data,5,3,No data
2021-05-24,58,No data,33,6,No data,6,3,No data
2021-05-25,37,No data,30,6,No data,5,3,No data
2021-05-26,68,No data,39,5,No data,8,4,No data
2021-05-27,81,No data,35,11,No data,13,8,No data
2021-05-28,101,No data,32,19,No data,20,13,No data
2021-05-29,85,No data,36,12,No data,15,8,No data
2021-05-30,50,No data,13,15,No data,16,11,No data
2021-05-31,50,No data,9,15,No data,15,11,No data
2021-06-01,68,No data,28,22,No data,20,13,No data
2021-06-02,55,No data,20,25,No data,26,15,No data
2021-06-03,60,No data,24,24,No data,No data,16,No data
2021-06-04,57,No data,21,11,No data,No data,5,No data
2021-06-05,55,No data,29,10,No data,9,6,No data
2021-06-06,No data,No data,14,7,No data,No data,5,No data
2021-06-07,No data,No data,27,11,No data,No data,7,No data
2021-06-08,No data,No data,33,9,No data,No data,5,No data
2021-06-09,47,No data,33,8,No data,No data,4,No data
2021-06-10,No data,No data,23,4,No data,No data,2,No data
2021-06-11,No data,No data,23,9,No data,No data,4,No data
2021-06-12,No data,No data,17,11,No data,No data,6,No data
2021-06-13,No data,No data,18,8,No data,No data,4,No data
2021-06-14,No data,No data,24,9,No data,No data,4,No data
2021-06-15,No data,No data,30,13,No data,No data,6,No data
2021-06-16,No data,No data,26,14,No data,No data,5,No data
2021-06-17,No data,No data,19,9,No data,No data,5,No data
2021-06-18,No data,No data,17,10,No data,No data,5,No data
2021-06-19,No data,No data,14,9,No data,No data,6,No data
2021-06-20,No data,No data,8,13,No data,No data,9,No data
2021-06-21,No data,No data,17,13,No data,No data,8,No data
2021-06-22,No data,No data,16,14,No data,No data,8,No data
2021-06-23,No data,No data,29,15,No data,No data,10,No data
2021-06-24,No data,No data,32,7,No data,No data,4,No data
2021-06-25,57,No data,20,6,No data,3,3,No data
2021-06-26,55,No data,11,10,No data,8,7,No data
2021-06-27,47,No data,11,9,No data,8,7,No data
2021-06-28,78,No data,28,11,No data,7,7,No data
2021-06-29,65,No data,18,14,No data,11,9,No data
2021-06-30,No data,No data,15,15,No data,No data,10,No data
2021-07-01,No data,No data,23,18,No data,No data,11,No data
2021-07-02,No data,No data,22,23,No data,No data,14,No data
2021-07-03,No data,No data,23,15,No data,No data,11,No data
2021-07-04,No data,No data,20,8,No data,No data,4,No data
2021-07-05,No data,No data,28,8,No data,No data,4,No data
2021-07-06,No data,No data,22,6,No data,No data,3,No data
2021-07-07,No data,No data,33,7,No data,No data,4,No data
2021-07-08,No data,No data,29,10,No data,No data,7,No data
2021-07-09,No data,No data,31,9,No data,No data,7,No data
2021-07-10,No data,No data,17,18,No data,No data,13,No data
2021-07-11,No data,No data,15,9,No data,No data,6,No data
2021-07-12,No data,No data,21,9,No data,No data,6,No data
2021-07-13,No data,No data,15,9,No data,No data,5,No data
2021-07-14,No data,No data,24,8,No data,No data,5,No data
2021-07-15,No data,No data,17,12,No data,No data,6,No data
2021-07-16,No data,No data,39,13,No data,No data,7,No data
2021-07-17,No data,No data,23,11,No data,No data,6,No data
2021-07-18,No data,No data,19,14,No data,No data,8,No data
2021-07-19,No data,No data,17,20,No data,No data,10,No data
2021-07-20,No data,No data,30,27,No data,No data,13,No data
2021-07-21,No data,No data,14,31,No data,No data,18,No data
2021-07-22,No data,No data,28,29,No data,No data,15,No data
2021-07-23,No data,No data,12,20,No data,No data,12,No data
2021-07-24,52,No data,10,18,No data,No data,10,No data
2021-07-25,45,No data,10,18,No data,No data,10,No data
2021-07-26,52,No data,29,18,No data,No data,11,No data
2021-07-27,60,No data,33,18,No data,No data,12,No data
2021-07-28,51,No data,32,8,No data,3,5,No data
2021-07-29,38,No data,26,9,No data,5,5,No data
2021-07-30,69,No data,27,9,No data,7,6,No data
2021-07-31,33,No data,15,5,No data,2,3,No data
2021-08-01,49,No data,13,8,No data,4,4,No data
2021-08-02,68,No data,38,10,No data,6,5,No data
2021-08-03,76,No data,37,11,No data,9,7,No data
2021-08-04,99,No data,43,16,No data,13,10,No data
2021-08-05,77,No data,24,13,No data,11,7,No data
2021-08-06,49,No data,21,7,No data,5,3,No data
2021-08-07,44,No data,12,7,No data,5,4,No data
2021-08-08,40,No data,14,6,No data,5,3,No data
2021-08-09,74,No data,33,8,No data,No data,5,No data
2021-08-10,58,No data,37,9,No data,No data,6,No data
2021-08-11,64,No data,31,9,No data,No data,5,No data
2021-08-12,48,No data,29,11,No data,No data,5,No data
2021-08-13,36,No data,20,12,No data,5,5,No data
2021-08-14,49,No data,22,10,No data,8,6,No data
2021-08-15,31,No data,16,8,No data,5,5,No data
2021-08-16,23,No data,19,17,No data,13,12,No data
2021-08-17,25,No data,21,4,No data,3,2,No data
2021-08-18,24,No data,22,4,No data,1,2,No data
2021-08-19,75,No data,29,7,No data,4,4,No data
2021-08-20,89,No data,28,8,No data,5,4,No data
2021-08-21,100,No data,24,8,No data,6,5,No data
2021-08-22,55,No data,18,9,No data,5,6,No data
2021-08-23,54,No data,No data,No data,No data,No data,No data,No data
2021-08-24,No data,No data,No data,No data,No data,No data,No data,No data
