Date,PM2.5_1,PM10_1,NOx_1,NOx_2
2020-10-21,No data,13,28,39
2020-10-22,No data,7,23,43
2020-10-23,No data,11,17,49
2020-10-24,No data,15,6,13
2020-10-25,No data,11,9,19
2020-10-26,No data,13,16,40
2020-10-27,No data,12,10,23
2020-10-28,7,16,13,31
2020-10-29,7,20,14,13
2020-10-30,4,14,16,16
2020-10-31,7,20,10,17
2020-11-01,5,18,5,8
2020-11-02,6,18,10,38
2020-11-03,7,12,31,75
2020-11-04,11,16,79,89
2020-11-05,14,18,71,53
2020-11-06,14,23,24,17
2020-11-07,15,24,23,19
2020-11-08,7,12,16,11
2020-11-09,5,13,20,15
2020-11-10,2,7,17,40
2020-11-11,5,14,14,8
2020-11-12,5,16,11,26
2020-11-13,4,13,13,35
2020-11-14,9,23,10,8
2020-11-15,5,14,5,17
2020-11-16,5,17,8,28
2020-11-17,6,18,12,14
2020-11-18,5,17,10,28
2020-11-19,6,14,23,63
2020-11-20,5,11,51,51
2020-11-21,3,11,7,21
2020-11-22,4,7,24,50
2020-11-23,4,8,55,27
2020-11-24,7,16,17,11
2020-11-25,4,10,34,61
2020-11-26,7,11,62,73
2020-11-27,10,15,55,25
2020-11-28,16,21,29,21
2020-11-29,30,31,74,74
2020-11-30,17,20,65,98
2020-12-01,5,12,34,64
2020-12-02,9,16,64,77
2020-12-03,3,5,16,61
2020-12-04,4,7,19,74
2020-12-05,5,8,24,36
2020-12-06,18,20,97,89
2020-12-07,16,18,91,58
2020-12-08,16,18,138,119
2020-12-09,11,16,81,70
2020-12-10,4,10,22,57
2020-12-11,7,15,20,71
2020-12-12,10,14,46,71
2020-12-13,7,18,11,7
2020-12-14,9,22,8,15
2020-12-15,6,15,11,12
2020-12-16,8,18,21,48
2020-12-17,10,20,14,21
2020-12-18,4,16,10,6
2020-12-19,8,19,6,13
2020-12-20,5,12,10,34
2020-12-21,3,7,6,16
2020-12-22,7,14,16,26
2020-12-23,5,12,14,19
2020-12-24,3,7,18,42
2020-12-25,9,13,28,62
2020-12-26,2,7,5,16
2020-12-27,6,12,6,31
2020-12-28,4,9,13,38
2020-12-29,4,8,18,56
2020-12-30,8,11,50,73
2020-12-31,11,12,56,88
2021-01-01,12,14,39,74
2021-01-02,7,9,40,66
2021-01-03,5,5,11,25
2021-01-04,5,7,13,34
2021-01-05,5,7,14,33
2021-01-06,8,10,38,50
2021-01-07,16,19,137,131
2021-01-08,12,12,56,85
2021-01-09,15,15,21,51
2021-01-10,16,16,46,77
2021-01-11,2,7,12,42
2021-01-12,1,4,9,37
2021-01-13,3,7,8,34
2021-01-14,2,7,9,38
2021-01-15,7,12,32,33
2021-01-16,5,14,10,36
2021-01-17,7,15,16,58
2021-01-18,4,10,48,39
2021-01-19,No data,No data,7,12
2021-01-20,No data,No data,8,9
2021-01-21,No data,No data,19,68
2021-01-22,No data,No data,97,94
2021-01-23,10,16,53,63
2021-01-24,4,7,10,40
2021-01-25,11,15,77,105
2021-01-26,5,9,29,27
2021-01-27,2,6,20,41
2021-01-28,4,15,8,No data
2021-01-29,9,21,14,No data
2021-01-30,5,15,10,No data
2021-01-31,7,10,18,No data
2021-02-01,7,10,30,22
2021-02-02,No data,No data,No data,14
2021-02-03,No data,No data,No data,58
2021-02-04,5,12,24,39
2021-02-05,6,11,33,57
2021-02-06,8,10,59,63
2021-02-07,8,12,7,15
2021-02-08,5,8,7,23
2021-02-09,7,12,11,10
2021-02-10,7,11,11,22
2021-02-11,10,17,12,13
2021-02-12,11,21,11,12
2021-02-13,15,20,12,14
2021-02-14,11,24,6,7
2021-02-15,6,17,10,16
2021-02-16,7,23,5,19
2021-02-17,10,30,6,10
2021-02-18,5,16,6,29
2021-02-19,9,28,7,5
2021-02-20,17,41,7,No data
2021-02-21,3,13,8,No data
2021-02-22,2,8,17,No data
2021-02-23,9,24,7,No data
2021-02-24,9,26,7,10
2021-02-25,7,16,14,68
2021-02-26,10,19,58,83
2021-02-27,13,19,39,48
2021-02-28,13,18,11,11
2021-03-01,25,30,15,16
2021-03-02,No data,No data,23,25
2021-03-03,No data,No data,26,44
2021-03-04,26,30,18,45
2021-03-05,7,12,11,22
2021-03-06,12,18,13,31
2021-03-07,14,17,14,39
2021-03-08,22,25,28,77
2021-03-09,18,24,28,41
2021-03-10,5,19,5,11
2021-03-11,9,22,5,26
2021-03-12,7,17,6,23
2021-03-13,6,13,4,24
2021-03-14,7,18,3,22
2021-03-15,4,10,7,41
2021-03-16,4,8,8,44
2021-03-17,9,18,12,59
2021-03-18,8,13,16,57
2021-03-19,4,9,12,41
2021-03-20,12,15,13,46
2021-03-21,6,10,9,28
2021-03-22,7,11,24,54
2021-03-23,13,22,17,12
2021-03-24,7,16,13,49
2021-03-25,6,17,11,16
2021-03-26,6,16,6,27
2021-03-27,4,14,5,15
2021-03-28,8,23,4,7
2021-03-29,8,19,13,17
2021-03-30,14,22,21,24
2021-03-31,26,39,66,89
2021-04-01,24,36,34,22
2021-04-02,8,13,8,19
2021-04-03,10,18,9,17
2021-04-04,13,22,9,26
2021-04-05,5,12,5,19
2021-04-06,3,9,12,45
2021-04-07,5,10,21,46
2021-04-08,5,9,22,25
2021-04-09,6,9,30,48
2021-04-10,7,11,8,28
2021-04-11,5,9,8,30
2021-04-12,6,9,27,53
2021-04-13,8,13,41,69
2021-04-14,15,20,47,80
2021-04-15,13,17,40,24
2021-04-16,11,17,31,28
2021-04-17,14,19,21,41
2021-04-18,18,23,17,33
2021-04-19,13,18,28,27
2021-04-20,18,25,27,42
2021-04-21,20,27,33,37
2021-04-22,9,22,9,11
2021-04-23,14,28,11,13
2021-04-24,16,27,8,9
2021-04-25,9,18,6,7
2021-04-26,9,17,9,22
2021-04-27,10,16,16,41
2021-04-28,11,15,11,36
2021-04-29,13,16,28,53
2021-04-30,12,15,29,60
2021-05-01,12,14,22,38
2021-05-02,11,14,7,33
2021-05-03,6,15,6,8
2021-05-04,5,11,6,27
2021-05-05,3,8,8,38
2021-05-06,4,8,22,29
2021-05-07,6,11,17,28
2021-05-08,No data,24,7,7
2021-05-09,No data,20,12,8
2021-05-10,7,20,8,9
2021-05-11,5,10,9,17
2021-05-12,5,11,12,30
2021-05-13,5,8,8,25
2021-05-14,7,11,14,21
2021-05-15,8,20,7,19
2021-05-16,6,14,3,12
2021-05-17,No data,No data,13,40
2021-05-18,No data,No data,17,40
2021-05-19,No data,No data,8,29
2021-05-20,No data,No data,6,10
2021-05-21,No data,No data,5,19
2021-05-22,4,7,9,24
2021-05-23,7,15,7,11
2021-05-24,5,11,7,30
2021-05-25,5,10,10,25
2021-05-26,4,6,10,35
2021-05-27,4,7,24,26
2021-05-28,7,11,21,16
2021-05-29,12,17,22,21
2021-05-30,9,13,11,9
2021-05-31,12,17,18,11
2021-06-01,9,19,13,13
2021-06-02,12,19,23,No data
2021-06-03,4,9,5,No data
2021-06-04,4,8,15,23
2021-06-05,7,10,18,10
2021-06-06,4,5,7,10
2021-06-07,4,7,10,23
2021-06-08,5,7,25,20
2021-06-09,5,8,13,16
2021-06-10,5,6,12,18
2021-06-11,4,6,8,23
2021-06-12,6,10,8,16
2021-06-13,7,11,14,18
2021-06-14,5,9,11,20
2021-06-15,6,10,14,26
2021-06-16,4,7,18,22
2021-06-17,5,9,7,18
