Date,NOx_1,NOx_2,PM10_1,PM10_2,PM2.5_1,PM2.5_2
2020-09-03,16,25,6,13,3,4
2020-09-04,18,23,14,21,6,7
2020-09-05,15,24,9,16,4,5
2020-09-06,14,31,7,15,4,6
2020-09-07,29,29,8,15,5,7
2020-09-08,27,26,6,13,3,5
2020-09-09,19,24,8,17,4,6
2020-09-10,38,47,15,22,7,9
2020-09-11,26,24,14,17,6,7
2020-09-12,14,22,12,20,6,7
2020-09-13,13,16,7,14,4,6
2020-09-14,74,75,16,21,8,10
2020-09-15,82,88,29,34,15,19
2020-09-16,14,53,16,24,9,10
2020-09-17,20,69,18,26,8,9
2020-09-18,17,70,10,18,4,6
2020-09-19,7,48,9,19,4,7
2020-09-20,11,47,6,13,3,5
2020-09-21,48,54,22,26,14,15
2020-09-22,44,47,25,29,15,18
2020-09-23,25,61,4,11,3,6
2020-09-24,31,80,6,12,4,5
2020-09-25,14,42,7,14,3,3
2020-09-26,13,36,11,18,5,7
2020-09-27,22,44,14,20,7,10
2020-09-28,53,65,13,19,9,11
2020-09-29,49,69,13,19,7,9
2020-09-30,62,78,14,16,8,9
2020-10-01,53,60,10,17,5,6
2020-10-02,16,62,9,22,5,7
2020-10-03,23,72,9,14,6,8
2020-10-04,15,48,7,15,4,8
2020-10-05,24,35,6,12,3,5
2020-10-06,30,40,7,12,4,6
2020-10-07,27,41,11,18,5,6
2020-10-08,30,61,5,13,3,5
2020-10-09,28,37,7,14,4,5
2020-10-10,23,35,4,10,2,4
2020-10-11,21,41,4,12,3,6
2020-10-12,45,59,11,15,7,7
2020-10-13,27,78,6,11,3,6
2020-10-14,18,89,11,19,7,10
2020-10-15,25,88,8,15,4,8
2020-10-16,26,91,9,26,4,8
2020-10-17,22,72,8,21,4,8
2020-10-18,43,66,12,17,7,10
2020-10-19,68,94,26,30,17,No data
2020-10-20,48,67,18,26,10,11
2020-10-21,55,79,21,24,12,14
2020-10-22,31,30,7,13,3,No data
2020-10-23,62,84,13,20,7,No data
2020-10-24,34,45,9,14,5,6
2020-10-25,24,26,8,12,4,4
2020-10-26,35,42,10,14,4,5
