Date,PM10,PM2.5,NOx
2021-10-24,8,5,No data
2021-10-25,10,6,No data
2021-10-26,8,5,No data
2021-10-27,6,3,No data
2021-10-28,12,7,No data
2021-10-29,11,7,No data
2021-10-30,9,5,No data
2021-10-31,9,5,No data
2021-11-01,8,4,No data
2021-11-02,14,9,No data
2021-11-03,15,11,No data
2021-11-04,8,4,No data
2021-11-05,16,11,No data
2021-11-06,13,10,9
2021-11-07,18,11,8
2021-11-08,20,13,25
2021-11-09,11,8,14
2021-11-10,13,10,17
2021-11-11,17,13,18
2021-11-12,12,9,10
2021-11-13,5,3,8
2021-11-14,11,8,13
2021-11-15,13,9,28
2021-11-16,18,13,31
2021-11-17,15,9,18
2021-11-18,11,6,29
2021-11-19,11,9,16
2021-11-20,11,8,11
2021-11-21,10,5,8
